EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1618271614.288535,1512161.000,8003,1,TL,1,100,2021-04-12_16-53-27-420417
1618271614.309174,1512181.000,8005,1,TL,1,100,2021-04-12_16-53-34-297137
1618271619.566746,1517276.000,8907,1,TL,1,100,2021-04-12_16-53-34-394335
1618271619.628661,1517336.000,8909,1,TL,1,100,2021-04-12_16-53-39-617280
1618271624.835670,1522382.000,9810,1,TL,1,100,2021-04-12_16-53-39-719202
1618271624.856308,1522402.000,9812,1,TL,1,100,2021-04-12_16-53-44-844692
1618271630.111816,1527495.000,10715,1,TL,1,100,2021-04-12_16-53-44-941070
1618271630.170635,1527552.000,10717,1,TL,1,100,2021-04-12_16-53-50-163793
1618271635.380740,1532601.000,11620,1,TL,1,100,2021-04-12_16-53-50-266105
1618271635.401378,1532621.000,11622,1,TL,1,100,2021-04-12_16-53-55-391587
1618271640.696099,1537752.000,12540,1,TL,1,100,2021-04-12_16-53-55-488547
1618271640.721897,1537777.000,12542,1,TL,1,100,2021-04-12_16-54-00-710914
1618271645.956768,1542850.000,13444,1,TL,1,100,2021-04-12_16-54-00-813975
1618271645.975342,1542868.000,13446,1,TL,1,100,2021-04-12_16-54-05-960739
1618271651.267999,1547997.000,14364,1,TL,1,100,2021-04-12_16-54-06-034762
1618271651.287606,1548016.000,14366,1,TL,1,100,2021-04-12_16-54-11-271302
1618271656.607092,1553171.000,15285,1,TL,1,100,2021-04-12_16-54-11-355739
1618271656.629794,1553193.000,15287,1,TL,1,100,2021-04-12_16-54-16-613618
1618271661.918324,1558318.000,16206,1,TL,1,100,2021-04-12_16-54-16-681402
1618271661.935867,1558335.000,16208,1,TL,1,100,2021-04-12_16-54-21-921405
1618271667.197567,1563434.000,17109,1,TL,1,100,2021-04-12_16-54-22-010051
1618271667.242971,1563478.000,17111,1,TL,1,100,2021-04-12_16-54-27-236262
1618271672.470618,1568544.000,18012,1,TL,1,100,2021-04-12_16-54-27-338463
1618271672.566585,1568637.000,18014,1,TL,1,100,2021-04-12_16-54-32-557525
1618271677.781850,1573691.000,18916,1,TL,1,100,2021-04-12_16-54-32-664331
1618271677.801456,1573710.000,18918,1,TL,1,100,2021-04-12_16-54-37-783323
1618271683.032199,1578779.000,19820,1,TL,1,100,2021-04-12_16-54-37-885386
1618271683.051805,1578798.000,19822,1,TL,1,100,2021-04-12_16-54-43-037305
1618271688.313505,1583897.000,20724,1,TL,1,100,2021-04-12_16-54-43-103813
1618271688.333112,1583916.000,20726,1,TL,1,100,2021-04-12_16-54-48-326148
1618271693.624737,1589044.000,21645,1,TL,1,100,2021-04-12_16-54-48-429821
1618271693.644343,1589063.000,21647,1,TL,1,100,2021-04-12_16-54-53-626184
1618271698.903980,1594160.000,22549,1,TL,1,100,2021-04-12_16-54-53-762087
1618271698.992723,1594246.000,22551,1,TL,1,100,2021-04-12_16-54-58-976759
1618271704.213147,1599305.000,23454,1,TL,1,100,2021-04-12_16-54-59-086479
1618271704.238945,1599330.000,23456,1,TL,1,100,2021-04-12_16-55-04-205501
1618271709.530571,1604458.000,24375,1,TL,1,100,2021-04-12_16-55-04-282210
1618271709.561528,1604488.000,24377,1,TL,1,100,2021-04-12_16-55-09-530890
1618271714.846962,1609610.000,25295,1,TL,1,100,2021-04-12_16-55-09-622117
1618271714.867600,1609630.000,25297,1,TL,1,100,2021-04-12_16-55-14-851889
1618271720.161289,1614760.000,26216,1,TL,1,100,2021-04-12_16-55-14-951920
1618271720.199470,1614797.000,26218,1,TL,1,100,2021-04-12_16-55-20-177799
1618271725.434340,1619870.000,27119,1,TL,1,100,2021-04-12_16-55-20-270019
1618271725.453947,1619889.000,27121,1,TL,1,100,2021-04-12_16-55-25-439058
1618271730.753827,1625025.000,28040,1,TL,1,100,2021-04-12_16-55-25-599273
1618271730.774466,1625045.000,28042,1,TL,1,100,2021-04-12_16-55-30-755665
1618271736.084665,1630191.000,28961,1,TL,1,100,2021-04-12_16-55-30-830245
1618271736.162059,1630266.000,28963,1,TL,1,100,2021-04-12_16-55-36-157529
1618271741.348429,1635292.000,29866,1,TL,1,100,2021-04-12_16-55-36-217295
1618271741.367004,1635310.000,29868,1,TL,1,100,2021-04-12_16-55-41-354000
1618271746.644182,1640424.000,30786,1,TL,1,100,2021-04-12_16-55-41-476072
1618271746.661725,1640441.000,30788,1,TL,1,100,2021-04-12_16-55-46-648712
1618271751.914138,1645531.000,31690,1,TL,1,100,2021-04-12_16-55-46-750912
1618271751.940967,1645557.000,31692,1,TL,1,100,2021-04-12_16-55-51-915975
1618271757.222274,1650675.000,32610,1,TL,1,100,2021-04-12_16-55-52-030732
1618271757.246008,1650698.000,32612,1,TL,1,100,2021-04-12_16-55-57-226377
1618271762.553112,1655841.000,33531,1,TL,1,100,2021-04-12_16-55-57-343618
1618271762.573750,1655861.000,33533,1,TL,1,100,2021-04-12_16-56-02-567087
1618271767.847833,1660972.000,34436,1,TL,1,100,2021-04-12_16-56-02-703090
1618271767.907684,1661030.000,34438,1,TL,1,100,2021-04-12_16-56-07-899204
1618271773.117788,1666079.000,35340,1,TL,1,100,2021-04-12_16-56-07-993986
1618271773.137395,1666098.000,35342,1,TL,1,100,2021-04-12_16-56-13-124941
1618271778.431084,1671228.000,36242,1,TL,1,100,2021-04-12_16-56-13-323742
1618271778.449658,1671246.000,36244,1,TL,1,100,2021-04-12_16-56-18-439939
1618271783.747475,1676380.000,37146,1,TL,1,100,2021-04-12_16-56-18-589753
1618271783.774305,1676406.000,37148,1,TL,1,100,2021-04-12_16-56-23-763044
1618271789.041164,1681510.000,38049,1,TL,1,100,2021-04-12_16-56-23-899398
1618271789.096888,1681564.000,38051,1,TL,1,100,2021-04-12_16-56-29-092139
1618271794.309056,1686615.000,38954,1,TL,1,100,2021-04-12_16-56-29-191014
1618271794.329694,1686635.000,38956,1,TL,1,100,2021-04-12_16-56-34-322435
1618271799.600682,1691743.000,39859,1,TL,1,100,2021-04-12_16-56-34-523324
1618271799.624415,1691766.000,39861,1,TL,1,100,2021-04-12_16-56-39-630418
1618271804.892307,1696871.000,40761,1,TL,1,100,2021-04-12_16-56-39-766803
1618271804.913977,1696892.000,40763,1,TL,1,100,2021-04-12_16-56-44-903630
1618271810.184964,1702000.000,41664,1,TL,1,100,2021-04-12_16-56-45-062128
1618271810.203539,1702018.000,41666,1,TL,1,100,2021-04-12_16-56-50-197387
1618271815.485877,1707137.000,42570,1,TL,1,100,2021-04-12_16-56-50-389756
1618271815.513739,1707164.000,42572,1,TL,1,100,2021-04-12_16-56-55-515574
1618271820.776471,1712264.000,43474,1,TL,1,100,2021-04-12_16-56-55-641020
1618271820.833225,1712319.000,43476,1,TL,1,100,2021-04-12_16-57-00-828358
1618271826.042298,1717367.000,44376,1,TL,1,100,2021-04-12_16-57-00-930396
1618271826.069128,1717393.000,44378,1,TL,1,100,2021-04-12_16-57-06-055338
1618271831.331860,1722493.000,45281,1,TL,1,100,2021-04-12_16-57-06-197155
1618271831.386551,1722546.000,45283,1,TL,1,100,2021-04-12_16-57-11-383690
1618271836.611103,1727609.000,46185,1,TL,1,100,2021-04-12_16-57-11-485682
1618271836.644124,1727641.000,46187,1,TL,1,100,2021-04-12_16-57-16-619476
1618271841.910983,1732745.000,47086,1,TL,1,100,2021-04-12_16-57-16-814541
1618271841.928526,1732762.000,47088,1,TL,1,100,2021-04-12_16-57-21-927200
1618271847.191258,1737862.000,47989,1,TL,1,100,2021-04-12_16-57-22-061712
1618271847.254204,1737923.000,47991,1,TL,1,100,2021-04-12_16-57-27-259444
1618271852.472564,1742980.000,48895,1,TL,1,100,2021-04-12_16-57-27-354027
1618271852.492171,1742999.000,48897,1,TL,1,100,2021-04-12_16-57-32-485115
1618271857.777605,1748121.000,49799,1,TL,1,100,2021-04-12_16-57-32-679854
1618271857.797211,1748140.000,49801,1,TL,1,100,2021-04-12_16-57-37-798847
1618271863.046528,1753227.000,50701,1,TL,1,100,2021-04-12_16-57-37-942752
1618271863.071294,1753251.000,50703,1,TL,1,100,2021-04-12_16-57-43-063354
1618271868.354664,1758371.000,51606,1,TL,1,100,2021-04-12_16-57-43-226257
1618271868.385621,1758401.000,51608,1,TL,1,100,2021-04-12_16-57-48-371190
1618271873.630811,1763484.000,52338,1,TL,1,100,2021-04-12_16-57-48-555568
1618271873.650417,1763503.000,52340,1,TL,1,100,2021-04-12_16-57-53-643191
1618271878.912117,1768602.000,53225,1,TL,1,100,2021-04-12_16-57-53-798666
1618271878.996734,1768684.000,53227,1,TL,1,100,2021-04-12_16-57-58-994976
1618271884.209934,1773736.000,54128,1,TL,1,100,2021-04-12_16-57-59-102272
1618271884.230572,1773756.000,54130,1,TL,1,100,2021-04-12_16-58-04-221721
1618271889.480922,1778844.000,55033,1,TL,1,100,2021-04-12_16-58-04-426939
1618271889.547996,1778909.000,55035,1,TL,1,100,2021-04-12_16-58-09-548525
1618271894.789057,1783988.000,55937,1,TL,1,100,2021-04-12_16-58-09-645504
1618271894.807632,1784006.000,55939,1,TL,1,100,2021-04-12_16-58-14-800400
1618271900.078619,1789114.000,56839,1,TL,1,100,2021-04-12_16-58-14-974074
1618271900.097193,1789132.000,56841,1,TL,1,100,2021-04-12_16-58-20-096226
1618271905.369213,1794241.000,57743,1,TL,1,100,2021-04-12_16-58-20-295723
1618271905.409457,1794280.000,57745,1,TL,1,100,2021-04-12_16-58-25-419087
1618271910.672189,1799380.000,58648,1,TL,1,100,2021-04-12_16-58-25-524052
1618271910.747519,1799453.000,58650,1,TL,1,100,2021-04-12_16-58-30-745096
1618271915.944208,1804489.000,59552,1,TL,1,100,2021-04-12_16-58-30-825386
1618271915.967942,1804512.000,59554,1,TL,1,100,2021-04-12_16-58-35-966594
1618271921.227579,1809609.000,60455,1,TL,1,100,2021-04-12_16-58-36-105233
1618271921.291557,1809671.000,60457,1,TL,1,100,2021-04-12_16-58-41-293885
1618271926.518172,1814736.000,61358,1,TL,1,100,2021-04-12_16-58-41-395254
1618271926.536747,1814754.000,61360,1,TL,1,100,2021-04-12_16-58-46-531738
1618271931.829404,1819883.000,62263,1,TL,1,100,2021-04-12_16-58-46-720475
1618271931.849010,1819902.000,62265,1,TL,1,100,2021-04-12_16-58-51-843609
1618271937.109678,1825000.000,63167,1,TL,1,100,2021-04-12_16-58-52-043167
1618271937.155082,1825044.000,63169,1,TL,1,100,2021-04-12_16-58-57-160318
1618271942.422974,1830149.000,64070,1,TL,1,100,2021-04-12_16-58-57-270991
1618271942.483856,1830208.000,64072,1,TL,1,100,2021-04-12_16-59-02-489813
1618271947.713567,1835276.000,64972,1,TL,1,100,2021-04-12_16-59-02-586051
1618271947.734205,1835296.000,64974,1,TL,1,100,2021-04-12_16-59-07-726223
1618271953.000033,1840399.000,339,1,TL,1,100,2021-04-12_16-59-07-870916
1618271953.034086,1840432.000,341,1,TL,1,100,2021-04-12_16-59-13-031304
1618271958.263797,1845500.000,1243,1,TL,1,100,2021-04-12_16-59-13-098019
1618271958.282372,1845518.000,1245,1,TL,1,100,2021-04-12_16-59-18-274964
1618271963.583284,1850655.000,2164,1,TL,1,100,2021-04-12_16-59-18-345474
1618271963.601859,1850673.000,2166,1,TL,1,100,2021-04-12_16-59-23-595305
1618271968.902771,1855810.000,3083,1,TL,1,100,2021-04-12_16-59-23-684968
1618271968.921346,1855828.000,3085,1,TL,1,100,2021-04-12_16-59-28-913715
1618271974.183046,1860927.000,3991,1,TL,1,100,2021-04-12_16-59-29-010424
1618271974.228450,1860971.000,3993,1,TL,1,100,2021-04-12_16-59-34-231718
1618271979.441650,1866023.000,4893,1,TL,1,100,2021-04-12_16-59-34-329769
1618271979.466416,1866047.000,4895,1,TL,1,100,2021-04-12_16-59-39-456521
1618271984.758041,1871175.000,5814,1,TL,1,100,2021-04-12_16-59-39-558549
1618271984.782807,1871199.000,5816,1,TL,1,100,2021-04-12_16-59-44-774921
1618271990.097135,1876349.000,6734,1,TL,1,100,2021-04-12_16-59-44-838931
1618271990.115709,1876367.000,6736,1,TL,1,100,2021-04-12_16-59-50-106849
1618271995.409398,1881497.000,7657,1,TL,1,100,2021-04-12_16-59-50-174931
1618271995.427973,1881515.000,7659,1,TL,1,100,2021-04-12_16-59-55-424797
1618272000.675226,1886600.000,8560,1,TL,1,100,2021-04-12_16-59-55-532254
1618272000.693800,1886618.000,8562,1,TL,1,100,2021-04-12_17-00-00-679699
1618272005.974075,1891735.000,9480,1,TL,1,100,2021-04-12_17-00-00-753784
1618272005.993681,1891754.000,9482,1,TL,1,100,2021-04-12_17-00-05-981916
1618272011.244030,1896842.000,10384,1,TL,1,100,2021-04-12_17-00-06-053500
1618272011.263637,1896861.000,10386,1,TL,1,100,2021-04-12_17-00-11-254235
1618272016.554230,1901988.000,11304,1,TL,1,100,2021-04-12_17-00-11-399969
1618272016.633687,1902065.000,11306,1,TL,1,100,2021-04-12_17-00-16-626849
1618272021.825217,1907096.000,12207,1,TL,1,100,2021-04-12_17-00-16-729456
1618272021.856175,1907126.000,12209,1,TL,1,100,2021-04-12_17-00-21-843910
1618272027.096205,1912204.000,13110,1,TL,1,100,2021-04-12_17-00-21-946195
1618272027.114779,1912222.000,13112,1,TL,1,100,2021-04-12_17-00-27-103039
1618272032.412596,1917356.000,14031,1,TL,1,100,2021-04-12_17-00-27-271844
1618272032.431170,1917374.000,14033,1,TL,1,100,2021-04-12_17-00-32-422395
1618272037.690807,1922471.000,14936,1,TL,1,100,2021-04-12_17-00-32-486122
1618272037.719700,1922499.000,14938,1,TL,1,100,2021-04-12_17-00-37-719790
1618272042.962826,1927580.000,15840,1,TL,1,100,2021-04-12_17-00-37-776980
1618272043.034028,1927649.000,15842,1,TL,1,100,2021-04-12_17-00-43-034941
1618272048.250324,1932704.000,16744,1,TL,1,100,2021-04-12_17-00-43-144084
1618272048.269930,1932723.000,16746,1,TL,1,100,2021-04-12_17-00-48-265719
1618272053.518215,1937809.000,17648,1,TL,1,100,2021-04-12_17-00-48-365128
1618272053.535758,1937826.000,17650,1,TL,1,100,2021-04-12_17-00-53-525661
1618272058.820160,1942947.000,18568,1,TL,1,100,2021-04-12_17-00-53-689225
1618272058.839766,1942966.000,18570,1,TL,1,100,2021-04-12_17-00-58-833581
1618272064.153062,1948115.000,19490,1,TL,1,100,2021-04-12_17-00-58-916625
1618272064.171636,1948133.000,19492,1,TL,1,100,2021-04-12_17-01-04-164476
1618272069.465325,1953263.000,20410,1,TL,1,100,2021-04-12_17-01-04-235973
1618272069.483900,1953281.000,20412,1,TL,1,100,2021-04-12_17-01-09-473483
1618272074.744568,1958379.000,21313,1,TL,1,100,2021-04-12_17-01-09-567320
1618272074.787908,1958421.000,21315,1,TL,1,100,2021-04-12_17-01-14-785679
